MB2013_code,total,AU2013_code,AU2013_label,TA2013_label
0000100,1,500206,North Cape,Far North District
0000200,1,500206,North Cape,Far North District
0000300,1,500206,North Cape,Far North District
0000400,1,500206,North Cape,Far North District
0000501,0,500206,North Cape,Far North District
0000502,1,500206,North Cape,Far North District
0000600,3,500206,North Cape,Far North District
0000700,0,500206,North Cape,Far North District
0000800,0,500206,North Cape,Far North District
0000900,1,500206,North Cape,Far North District
0001000,1,500207,Houhora,Far North District
0001100,3,500207,Houhora,Far North District
0001201,1,500207,Houhora,Far North District
0001202,0,500207,Houhora,Far North District
0001203,2,500207,Houhora,Far North District
0001204,5,500207,Houhora,Far North District
0001301,0,500207,Houhora,Far North District
0001302,4,500207,Houhora,Far North District
0001400,0,500208,Motutangi-Kareponia,Far North District
0001500,0,500208,Motutangi-Kareponia,Far North District
0001600,0,500208,Motutangi-Kareponia,Far North District
0001700,0,500208,Motutangi-Kareponia,Far North District
0001800,3,500208,Motutangi-Kareponia,Far North District
0001900,2,500208,Motutangi-Kareponia,Far North District
0002000,2,500208,Motutangi-Kareponia,Far North District
0002100,0,614601,Inlet-Rangaunu Harbour,Far North District
0002200,6,500208,Motutangi-Kareponia,Far North District
0002301,2,500208,Motutangi-Kareponia,Far North District
0002302,1,500208,Motutangi-Kareponia,Far North District
0002303,5,500208,Motutangi-Kareponia,Far North District
0002304,2,500208,Motutangi-Kareponia,Far North District
0002305,0,500208,Motutangi-Kareponia,Far North District
0002306,0,500208,Motutangi-Kareponia,Far North District
0002400,1,500208,Motutangi-Kareponia,Far North District
0002500,0,500202,Karikari Peninsula-Maungataniwha,Far North District
0002603,0,500202,Karikari Peninsula-Maungataniwha,Far North District
0002604,3,500202,Karikari Peninsula-Maungataniwha,Far North District
0002605,6,500202,Karikari Peninsula-Maungataniwha,Far North District
0002606,11,500202,Karikari Peninsula-Maungataniwha,Far North District
0002607,1,500202,Karikari Peninsula-Maungataniwha,Far North District
0002608,4,500202,Karikari Peninsula-Maungataniwha,Far North District
0002609,7,500202,Karikari Peninsula-Maungataniwha,Far North District
0002610,10,500202,Karikari Peninsula-Maungataniwha,Far North District
0002611,4,500202,Karikari Peninsula-Maungataniwha,Far North District
0002700,3,500202,Karikari Peninsula-Maungataniwha,Far North District
0002800,3,500208,Motutangi-Kareponia,Far North District
0002900,2,500202,Karikari Peninsula-Maungataniwha,Far North District
0003000,3,500202,Karikari Peninsula-Maungataniwha,Far North District
0003100,1,500202,Karikari Peninsula-Maungataniwha,Far North District
0003200,1,500202,Karikari Peninsula-Maungataniwha,Far North District
0003300,5,500202,Karikari Peninsula-Maungataniwha,Far North District
0003400,5,500202,Karikari Peninsula-Maungataniwha,Far North District
0003501,3,500203,Taipa Bay-Mangonui,Far North District
0003502,2,500203,Taipa Bay-Mangonui,Far North District
0003503,4,500203,Taipa Bay-Mangonui,Far North District
0003504,2,500203,Taipa Bay-Mangonui,Far North District
0003505,1,500203,Taipa Bay-Mangonui,Far North District
0003506,3,500203,Taipa Bay-Mangonui,Far North District
0003600,1,500202,Karikari Peninsula-Maungataniwha,Far North District
0003701,0,500202,Karikari Peninsula-Maungataniwha,Far North District
0003702,5,500202,Karikari Peninsula-Maungataniwha,Far North District
0003800,7,500202,Karikari Peninsula-Maungataniwha,Far North District
0003900,1,500202,Karikari Peninsula-Maungataniwha,Far North District
0004000,5,500202,Karikari Peninsula-Maungataniwha,Far North District
0004101,6,500203,Taipa Bay-Mangonui,Far North District
0004102,15,500203,Taipa Bay-Mangonui,Far North District
0004104,3,500203,Taipa Bay-Mangonui,Far North District
0004105,1,500203,Taipa Bay-Mangonui,Far North District
0004106,1,500203,Taipa Bay-Mangonui,Far North District
0004107,0,500203,Taipa Bay-Mangonui,Far North District
0004108,0,500203,Taipa Bay-Mangonui,Far North District
0004201,7,500203,Taipa Bay-Mangonui,Far North District
0004202,4,500203,Taipa Bay-Mangonui,Far North District
0004203,0,500203,Taipa Bay-Mangonui,Far North District
0004204,2,500203,Taipa Bay-Mangonui,Far North District
0004205,7,500203,Taipa Bay-Mangonui,Far North District
0004206,1,500203,Taipa Bay-Mangonui,Far North District
0004207,2,500203,Taipa Bay-Mangonui,Far North District
0004208,0,500203,Taipa Bay-Mangonui,Far North District
0004209,0,500203,Taipa Bay-Mangonui,Far North District
0004210,0,500203,Taipa Bay-Mangonui,Far North District
0004301,12,500203,Taipa Bay-Mangonui,Far North District
0004302,11,500203,Taipa Bay-Mangonui,Far North District
0004400,5,500202,Karikari Peninsula-Maungataniwha,Far North District
0004501,0,500202,Karikari Peninsula-Maungataniwha,Far North District
0004502,0,500202,Karikari Peninsula-Maungataniwha,Far North District
0004600,4,500202,Karikari Peninsula-Maungataniwha,Far North District
0004700,0,500202,Karikari Peninsula-Maungataniwha,Far North District
0004800,0,500202,Karikari Peninsula-Maungataniwha,Far North District
0004900,11,500203,Taipa Bay-Mangonui,Far North District
0005000,4,500203,Taipa Bay-Mangonui,Far North District
0005100,10,500203,Taipa Bay-Mangonui,Far North District
0005201,7,500202,Karikari Peninsula-Maungataniwha,Far North District
0005202,0,500203,Taipa Bay-Mangonui,Far North District
0005300,4,500202,Karikari Peninsula-Maungataniwha,Far North District
0005400,0,500202,Karikari Peninsula-Maungataniwha,Far North District
0005500,1,500202,Karikari Peninsula-Maungataniwha,Far North District
0005600,10,500202,Karikari Peninsula-Maungataniwha,Far North District
0005700,6,500202,Karikari Peninsula-Maungataniwha,Far North District
0005800,0,500208,Motutangi-Kareponia,Far North District
0005900,2,500202,Karikari Peninsula-Maungataniwha,Far North District
0006000,2,500202,Karikari Peninsula-Maungataniwha,Far North District
0006100,0,500202,Karikari Peninsula-Maungataniwha,Far North District
0006200,1,500202,Karikari Peninsula-Maungataniwha,Far North District
0006300,2,500202,Karikari Peninsula-Maungataniwha,Far North District
0006400,2,500202,Karikari Peninsula-Maungataniwha,Far North District
0006500,2,500202,Karikari Peninsula-Maungataniwha,Far North District
0006600,2,500202,Karikari Peninsula-Maungataniwha,Far North District
0006700,1,500202,Karikari Peninsula-Maungataniwha,Far North District
0006800,1,500202,Karikari Peninsula-Maungataniwha,Far North District
0006900,2,500202,Karikari Peninsula-Maungataniwha,Far North District
0007000,1,500202,Karikari Peninsula-Maungataniwha,Far North District
0007101,0,500100,Awanui,Far North District
0007102,4,500100,Awanui,Far North District
0007201,1,500100,Awanui,Far North District
0007202,6,500100,Awanui,Far North District
0007300,4,500100,Awanui,Far North District
0007400,0,500208,Motutangi-Kareponia,Far North District
0007500,3,500208,Motutangi-Kareponia,Far North District
0007600,0,500208,Motutangi-Kareponia,Far North District
0007700,3,500208,Motutangi-Kareponia,Far North District
0007801,1,500208,Motutangi-Kareponia,Far North District
0007802,0,500100,Awanui,Far North District
0007900,3,500208,Motutangi-Kareponia,Far North District
0008000,2,500208,Motutangi-Kareponia,Far North District
0008100,1,500208,Motutangi-Kareponia,Far North District
0008200,0,500204,Herekino,Far North District
0008301,4,500204,Herekino,Far North District
0008302,0,500301,Kaitaia West,Far North District
0008401,3,500204,Herekino,Far North District
0008403,5,500302,Kaitaia East,Far North District
0008404,2,500302,Kaitaia East,Far North District
0008501,1,500204,Herekino,Far North District
0008502,2,500302,Kaitaia East,Far North District
0008600,10,500204,Herekino,Far North District
0008700,1,500204,Herekino,Far North District
0008800,2,500204,Herekino,Far North District
0008901,0,500204,Herekino,Far North District
0008902,1,500204,Herekino,Far North District
0009001,5,500204,Herekino,Far North District
0009002,0,500301,Kaitaia West,Far North District
0009101,2,500204,Herekino,Far North District
0009102,0,500301,Kaitaia West,Far North District
0009103,0,500301,Kaitaia West,Far North District
0009200,0,500204,Herekino,Far North District
0009300,1,500204,Herekino,Far North District
0009400,4,500204,Herekino,Far North District
0009500,0,500204,Herekino,Far North District
0009600,0,500204,Herekino,Far North District
0009700,5,500204,Herekino,Far North District
0009800,5,500205,Ahipara,Far North District
0009900,0,500204,Herekino,Far North District
0010005,0,500205,Ahipara,Far North District
0010006,1,500205,Ahipara,Far North District
0010007,0,500205,Ahipara,Far North District
0010008,0,500205,Ahipara,Far North District
0010009,2,500205,Ahipara,Far North District
0010010,1,500205,Ahipara,Far North District
0010011,2,500205,Ahipara,Far North District
0010012,1,500205,Ahipara,Far North District
0010013,0,500205,Ahipara,Far North District
0010014,0,500205,Ahipara,Far North District
0010101,2,500205,Ahipara,Far North District
0010102,10,500205,Ahipara,Far North District
0010200,1,500205,Ahipara,Far North District
0010300,1,500204,Herekino,Far North District
0010400,1,500204,Herekino,Far North District
0010500,1,500204,Herekino,Far North District
0010600,7,500205,Ahipara,Far North District
0010700,8,500205,Ahipara,Far North District
0010800,1,500205,Ahipara,Far North District
0010900,2,500204,Herekino,Far North District
0011000,1,500204,Herekino,Far North District
0011100,0,500204,Herekino,Far North District
0011200,0,500204,Herekino,Far North District
0011300,2,500204,Herekino,Far North District
0011400,1,500204,Herekino,Far North District
0011500,0,500204,Herekino,Far North District
0011600,0,500202,Karikari Peninsula-Maungataniwha,Far North District
0011700,0,500204,Herekino,Far North District
0011800,0,500204,Herekino,Far North District
0011900,1,500204,Herekino,Far North District
0012000,0,500204,Herekino,Far North District
0012101,0,500204,Herekino,Far North District
0012102,0,500204,Herekino,Far North District
0012103,5,500204,Herekino,Far North District
0012200,0,500204,Herekino,Far North District
0012300,1,500208,Motutangi-Kareponia,Far North District
0012400,2,500208,Motutangi-Kareponia,Far North District
0012500,1,500208,Motutangi-Kareponia,Far North District
